,SYMBOL,NAME OF COMPANY,cm02JUL2024bhav.csv,cm01JUL2024bhav.csv
351,COFORGE,Coforge Limited,2.452703682226739,1.0918150509269338
352,COLPAL,Colgate Palmolive (India) Limited,0.3319995107375631,0.6436522870759449
353,COMPINFO,Compuage Infocom Limited,,
354,COMPUSOFT,Compucom Software Limited,-0.1407954945441716,0.1763046544428798
355,CONCOR,Container Corporation of India Limited,-0.878039367039766,-0.575594781273983
356,CONFIPET,Confidence Petroleum India Limited,0.23529411764705602,-0.9202453987730062
357,CONSOFINVT,Consolidated Finvest & Holdings Limited,-0.484768076746435,-0.4470408940817859
358,CONTROLPR,Control Print Limited,-1.9957316721462848,-0.6133914239853271
359,CORALFINAC,Coral India Finance & Housing Limited,-0.7541478129713397,6.101220244048804
360,CORDSCABLE,Cords Cable Industries Limited,,
361,COROMANDEL,Coromandel International Limited,-1.6779363886801875,-0.2280038729424908
